8,58,10
54,30,65
3,26,93
55,65,87
36,93,33
40,52,9
42,26,12
88,93,3
40,31,88
69,79,19
25,94,84
50,34,64
24,86,68
65,5,47
6,21,82
52,16,26
7,83,37
20,94,8
49,93,99
89,95,3
20,68,25
4,15,60
60,46,98
48,32,3
62,30,56
97,88,36
48,6,85
7,65,88
59,37,4
19,36,59
64,58,69
54,91,8
73,62,39
48,27,17
73,70,67
77,94,34
7,2,7
47,39,9
87,86,15
28,97,2
65,68,59
96,87,60
71,49,2
93,8,7
42,24,81
34,91,15
47,65,38
21,15,27
50,38,58
16,67,65
63,47,8
1,7,45
14,34,23
35,57,12
26,13,68
38,87,46
67,1,43
65,84,5
41,21,8
17,64,77
62,13,39
19,33,42
37,62,95
91,44,87
59,72,91
26,30,84
12,3,22
51,33,92
5,77,8
92,6,88
35,64,82
25,68,72
76,75,33
2,63,41
71,15,81
75,61,13
69,31,44
82,38,29
10,97,42
1,71,67
55,84,89
21,51,23
34,19,12
62,97,45
74,60,89
40,25,65
16,18,44
41,13,54
9,33,96
60,94,40
49,67,21
25,22,56
43,53,93
44,51,44
79,46,16
43,95,10
39,69,29
91,26,64
35,35,66
54,66,27
4,47,17
31,21,51
38,33,10
39,71,90
55,20,16
14,15,29
23,82,41
96,75,22
1,28,61
26,18,8
39,62,86
58,30,29
86,76,49
5,99,23
37,67,39
95,65,10
85,78,64
37,34,25
21,39,77
63,17,67
41,94,22
71,21,10
69,73,37
87,41,10
58,29,62
41,2,79
87,81,15
58,86,57
38,80,40
23,29,88
37,90,87
70,64,62
84,29,40
50,15,74
14,5,6
28,12,91
1,78,42
4,33,57
64,69,13
20,91,50
38,58,70
79,36,34
50,69,59
25,84,64
65,60,80
75,74,94
87,43,3
36,24,38
96,89,21
62,96,56
81,93,18
9,15,18
62,80,15
12,65,36
92,44,35
9,29,98
5,44,84
98,81,97
67,11,36
24,88,51
57,72,29
50,85,51
58,93,39
99,15,97
82,43,35
61,5,68
32,34,75
1,58,13
54,70,98
82,4,51
41,35,12
11,34,63
33,34,24
74,57,49
98,75,84
8,72,40
32,56,35
98,60,56
65,3,50
85,1,36
86,87,97
8,39,98
19,23,92
88,11,93
97,70,43
95,92,17
70,98,68
14,45,94
21,13,6
22,51,58
30,21,51
6,47,75
32,25,48
83,44,93
42,21,10
68,26,61
87,6,77
41,40,83
65,48,28
69,57,63
75,44,57
46,18,10
94,81,60
59,62,90
88,81,13
26,8,76
30,50,9
85,22,87
71,27,9
27,51,75
4,38,46
96,58,55
60,83,5
84,25,42
72,64,76
30,44,56
7,67,17
31,51,44
1,14,75
78,8,83
81,17,22
2,71,82
8,75,4
77,65,88
18,44,94
77,23,96
73,76,32
14,57,18
50,25,42
29,99,55
5,41,10
92,55,78
15,80,36
46,41,63
73,71,23
26,80,45
89,37,6
32,92,95
99,16,5
45,68,10
49,49,79
59,10,47
16,39,38
13,9,93
78,67,67
94,33,39
69,85,98
5,36,54
93,43,56
99,11,90
72,17,9
70,97,75
18,89,14
95,21,32
54,64,67
65,13,45
90,91,96
59,39,65
14,82,22
8,58,4
97,63,78
30,76,47
93,14,41
53,77,31
53,8,14
27,6,36
4,91,39
33,80,41
74,15,46
15,88,92
36,70,68
55,49,50
46,23,66
88,67,1
8,89,21
97,1,63
99,82,45
89,4,42
63,79,92
68,13,94
79,14,62
35,61,67
9,95,3
16,14,70
50,6,70
20,49,13
7,57,12
37,30,97
25,40,74
22,63,43
6,50,92
99,63,63
55,51,22
53,91,36
39,95,59
42,80,3
24,35,38
96,69,21
45,50,47
8,40,12
37,12,93
94,42,64
44,49,22
32,21,34
58,35,54
67,60,31
31,57,6
56,67,61
92,91,16
2,87,2
51,24,17
65,53,5
98,50,43
13,49,38
28,96,60
70,15,28
34,58,16
65,24,36
48,70,20
92,53,17
82,95,3
12,77,2
75,35,76
70,55,45
14,23,99
89,37,57
27,61,76
79,98,88
89,52,21
77,60,53
51,65,5
18,1,5
8,29,4
56,98,83
60,88,7
81,54,43
97,77,98
84,20,25
52,75,89
78,19,51
68,35,67
86,67,42
63,77,49
7,38,97
75,48,50
62,44,77
43,32,74
97,20,77
74,66,62
63,80,62
46,93,72
22,53,79
26,85,54
98,7,18
27,83,62
66,2,3
28,43,2
84,20,55
12,45,95
64,63,44
29,34,69
56,43,71
27,78,57
81,59,98
56,11,94
38,59,97
69,6,14
2,63,82
62,11,73
95,95,30
93,22,48
70,62,88
38,23,99
50,12,89
48,69,75
34,90,34
50,79,74
24,2,65
78,29,19
26,81,77
26,17,61
90,47,59
12,23,36
63,67,75
36,15,68
66,86,60
12,79,54
42,19,86
93,5,67
21,11,95
57,82,76
53,31,49
4,77,38
33,83,33
49,38,60
72,91,68
40,48,22
73,87,58
2,5,1
58,54,40
40,82,35
6,33,1
32,24,24
25,70,81
10,81,3
32,4,99
7,81,86
74,51,80
70,23,70
19,34,11
57,96,86
7,41,2
49,64,75
49,80,79
64,14,22
11,66,87
58,84,42
6,60,2
45,30,84
52,10,60
51,55,71
40,71,6
82,70,82
50,25,60
12,37,10
23,21,94
72,58,19
65,95,63
42,16,75
92,40,29
79,16,93
79,75,64
56,69,18
2,9,73
81,82,41
53,19,34
7,78,38
39,74,4
71,15,64
76,22,33
27,85,43
58,47,24
6,41,35
39,54,65
20,40,76
36,20,70
42,27,95
45,63,83
98,38,64
30,91,9
85,63,5
84,28,68
28,84,37
97,93,32
15,89,91
33,81,55
50,72,23
90,2,6
36,93,94
16,6,87
39,69,16
59,30,62
24,30,34
78,76,67
57,37,12
85,65,73
60,71,51
39,9,42
17,24,23
75,85,45
66,52,51
31,97,76
13,86,48
34,33,42
48,8,7
59,23,10
26,65,59
21,30,45
34,48,93
71,3,18
94,17,56
89,89,40
99,65,72
93,99,5
70,35,91
93,71,8
50,14,22
82,50,68
40,13,75
76,23,13
2,52,50
65,3,12
52,33,63
94,83,63
24,39,63
25,54,32
65,38,36
59,73,69
32,40,28
94,8,55
81,36,60
7,56,5
5,66,78
98,30,99
99,31,96
10,40,21
52,17,43
46,34,73
98,15,56
65,59,7
61,13,10
13,8,78
80,29,56
34,13,75
1,10,69
6,94,92
78,4,52
32,57,71
86,91,87
14,1,29
38,31,2
66,99,31
5,25,59
46,44,8
93,69,57
95,24,48
98,65,40
24,40,17
12,31,99
80,53,66
5,46,49
43,89,35
92,91,15
3,31,6
34,11,24
18,65,28
41,99,52
24,57,4
34,49,85
62,86,46
72,33,37
99,42,51
45,52,91
29,92,10
14,34,78
13,19,59
27,57,18
95,29,23
12,48,43
31,64,59
46,5,46
65,69,89
19,28,10
47,98,13
76,77,98
53,54,7
16,77,55
50,74,6
76,33,49
35,56,25
26,93,49
39,7,26
2,2,88
82,44,58
2,42,24
63,96,79
70,13,69
16,19,61
17,41,61
65,79,46
81,28,74
14,69,43
61,85,66
88,14,36
70,75,64
43,53,86
57,38,28
50,23,68
23,76,9
90,91,16
68,28,42
19,7,12
43,31,22
85,39,16
8,39,16
94,74,47
74,14,74
89,21,1
62,80,11
60,60,12
71,82,94
23,1,57
3,87,64
91,15,8
26,91,97
8,78,19
25,25,40
6,55,96
93,97,14
49,70,8
42,93,6
71,78,77
65,71,89
87,91,26
64,78,29
43,77,58
47,56,48
32,56,10
28,20,56
25,2,7
61,34,83
65,69,35
93,51,36
28,19,12
90,87,31
82,27,57
40,35,46
7,46,24
24,62,27
78,82,55
68,32,77
90,61,99
84,68,31
14,40,14
5,17,66
83,18,42
62,66,39
87,57,12
90,13,36
